Date,PlotID,Depth_relative,Temperature,Volumetric_water_content
5/15/2018,411,Shallow,24.29049,0.04057831
5/15/2018,311,Shallow,24.28481,0.03601367
5/15/2018,231,Deep,24.2525,0.03606777
5/15/2018,332,Deep,24.20224,0.04393518
5/15/2018,511,Shallow,24.15437,0.04729086
5/15/2018,331,Deep,24.08738,0.0611597
5/15/2018,631,Deep,24.0102,0.04402079
5/15/2018,632,Deep,23.93074,0.05580311
5/15/2018,431,Deep,23.85165,0.04702868
5/15/2018,132,Deep,23.68872,0.1011475
5/15/2018,232,Deep,23.685,0.03810853
5/15/2018,532,Deep,23.39494,0.0475483
5/15/2018,432,Deep,23.31647,0.03448188
5/15/2018,322,Deep,22.98444,0.0417735
5/15/2018,221,Deep,22.93875,0.03954435
5/15/2018,121,Deep,22.93735,0.04078958
5/15/2018,421,Shallow,22.87087,0.04391651
5/15/2018,211,Deep,22.86958,0.03691936
5/15/2018,521,Deep,22.83192,0.05098376
5/15/2018,522,Deep,22.74774,0.04381128
5/15/2018,311,Deep,22.51225,0.0331826
5/15/2018,621,Deep,22.44931,0.04330025
5/15/2018,612,Deep,22.44027,0.02722241
5/15/2018,212,Deep,22.42792,0.04857504
5/15/2018,422,Deep,22.42222,0.03339902
5/15/2018,412,Deep,22.38041,0.03266431
5/15/2018,321,Deep,22.36436,0.06639117
5/15/2018,122,Deep,22.36073,0.06284051
5/15/2018,611,Deep,22.33876,0.05637997
5/15/2018,622,Deep,22.31669,0.04778052
5/15/2018,511,Deep,22.20867,0.05342613
5/15/2018,222,Deep,22.20417,0.04384655
5/15/2018,111,Deep,22.0891,0.04392024
5/15/2018,112,Deep,22.08235,0.05299718
5/15/2018,312,Deep,21.9846,0.04643956
5/15/2018,512,Deep,21.94581,0.02647073
5/15/2018,411,Deep,21.84763,0.05695977
5/14/2018,332,Shallow,27.7005,0.04111595
5/14/2018,531,Shallow,27.38455,0.06636553
5/14/2018,532,Shallow,27.37728,0.02778626
5/14/2018,232,Shallow,27.34292,0.04207027
5/14/2018,631,Shallow,27.19945,0.05692007
5/14/2018,431,Shallow,27.16775,0.01465618
5/14/2018,432,Shallow,27.16487,0.0332276
5/14/2018,231,Shallow,27.07375,0.03255594
5/14/2018,131,Shallow,26.90802,0.03395822
5/14/2018,132,Shallow,26.62437,0.0703939
5/14/2018,331,Shallow,26.55041,0.05150077
5/14/2018,632,Shallow,26.40129,0.04788366
5/14/2018,122,Shallow,25.70608,0.04152592
5/14/2018,611,Shallow,25.61564,0.03206965
5/14/2018,522,Shallow,25.45458,0.02734866
5/14/2018,412,Shallow,25.34797,0.04127547
5/14/2018,521,Shallow,25.2501,0.04709836
5/14/2018,221,Shallow,25.20125,0.0359925
5/14/2018,112,Shallow,25.19826,0.05111577
5/14/2018,212,Shallow,25.08875,0.03327701
5/14/2018,322,Shallow,25.02856,0.0344612
5/14/2018,612,Shallow,24.94474,0.03903912
5/14/2018,621,Shallow,24.9409,0.03071435
5/14/2018,222,Shallow,24.91208,0.03891662
5/14/2018,111,Shallow,24.89277,0.0266749
5/14/2018,512,Shallow,24.88289,0.02422345
5/14/2018,121,Shallow,24.84683,0.04172852
5/14/2018,622,Shallow,24.81447,0.02794796
5/14/2018,422,Shallow,24.68223,0.03154485
5/14/2018,211,Shallow,24.54042,0.04168092
5/14/2018,312,Shallow,24.46575,0.03417876
5/14/2018,421,Deep,24.41533,0.03542984
5/14/2018,411,Shallow,24.37173,0.04134335
5/14/2018,531,Deep,24.34395,0.04176402
5/14/2018,311,Shallow,24.32022,0.03674931
5/14/2018,321,Shallow,24.25869,0.03469476
5/14/2018,511,Shallow,24.13092,0.04886353
5/14/2018,332,Deep,23.92867,0.04425638
5/14/2018,231,Deep,23.91708,0.03638501
5/14/2018,131,Deep,23.88129,0.04045734
5/14/2018,331,Deep,23.79231,0.06201384
5/14/2018,631,Deep,23.71485,0.04399055
5/14/2018,632,Deep,23.53544,0.05578716
5/14/2018,431,Deep,23.53101,0.04730143
5/14/2018,132,Deep,23.49583,0.1014781
5/14/2018,232,Deep,23.30542,0.03802115
5/14/2018,532,Deep,23.17986,0.04768964
5/14/2018,432,Deep,23.0217,0.03446311
5/14/2018,121,Deep,22.72545,0.04068807
5/14/2018,221,Deep,22.72,0.03952145
5/14/2018,322,Deep,22.70717,0.04165842
5/14/2018,211,Deep,22.64375,0.03735784
5/14/2018,522,Deep,22.59555,0.04376995
5/14/2018,421,Shallow,22.59095,0.04384031
5/14/2018,521,Deep,22.5588,0.05085446
5/14/2018,222,Deep,22.31042,0.04392133
5/14/2018,311,Deep,22.30195,0.03343745
5/14/2018,212,Deep,22.30125,0.04888427
5/14/2018,612,Deep,22.294,0.02745025
5/14/2018,122,Deep,22.24657,0.06286123
5/14/2018,621,Deep,22.22107,0.04331534
5/14/2018,321,Deep,22.20576,0.06643096
5/14/2018,422,Deep,22.1911,0.03330446
5/14/2018,622,Deep,22.15035,0.04789237
5/14/2018,412,Deep,22.14456,0.03278603
5/14/2018,611,Deep,22.10318,0.05688052
5/14/2018,511,Deep,22.04749,0.05350477
5/14/2018,111,Deep,21.93604,0.04479644
5/14/2018,312,Deep,21.9118,0.04684084
5/14/2018,112,Deep,21.88418,0.05317179
5/14/2018,512,Deep,21.79266,0.02659643
5/14/2018,411,Deep,21.64132,0.05748948
5/13/2018,332,Shallow,27.31309,0.04216101
5/13/2018,532,Shallow,26.71086,0.02850405
5/13/2018,531,Shallow,26.59791,0.06898069
5/13/2018,232,Shallow,26.45458,0.04329943
5/13/2018,432,Shallow,26.41702,0.03398604
5/13/2018,431,Shallow,26.27165,0.01531934
5/13/2018,631,Shallow,26.23053,0.05807958
5/13/2018,132,Shallow,26.17488,0.07168204
5/13/2018,231,Shallow,26.17375,0.03334302
5/13/2018,131,Shallow,25.96656,0.03475878
5/13/2018,331,Shallow,25.90777,0.05248257
5/13/2018,632,Shallow,25.78606,0.04992798
5/13/2018,521,Shallow,25.11379,0.04788821
5/13/2018,522,Shallow,25.04692,0.02811129
5/13/2018,122,Shallow,24.95372,0.04232539
5/13/2018,611,Shallow,24.79769,0.03296553
5/13/2018,121,Shallow,24.77399,0.04266337
5/13/2018,212,Shallow,24.73167,0.03440311
5/13/2018,322,Shallow,24.7077,0.03528008
5/13/2018,222,Shallow,24.65708,0.03955082
5/13/2018,612,Shallow,24.63711,0.04024605
5/13/2018,531,Deep,24.62263,0.04213314
5/13/2018,221,Shallow,24.61125,0.03679543
5/13/2018,412,Shallow,24.59007,0.04250164
5/13/2018,621,Shallow,24.51464,0.03152703
5/13/2018,512,Shallow,24.44175,0.02485733
5/13/2018,422,Shallow,24.40191,0.0321193
5/13/2018,622,Shallow,24.3736,0.02862887
5/13/2018,112,Shallow,24.37071,0.05230194
5/13/2018,332,Deep,24.29086,0.04475922
5/13/2018,321,Shallow,24.27855,0.03545686
5/13/2018,111,Shallow,24.24892,0.0274049
5/13/2018,231,Deep,24.1875,0.03695693
5/13/2018,211,Shallow,24.1425,0.04259813
5/13/2018,421,Deep,24.09357,0.03610598
5/13/2018,312,Shallow,24.07217,0.03532385
5/13/2018,131,Deep,24.07198,0.04069764
5/13/2018,331,Deep,24.02553,0.06310772
5/13/2018,411,Shallow,24.00819,0.04234065
5/13/2018,631,Deep,24.00684,0.0442754
5/13/2018,311,Shallow,23.97729,0.03772627
5/13/2018,511,Shallow,23.87496,0.05037248
5/13/2018,132,Deep,23.83521,0.1021483
5/13/2018,431,Deep,23.80868,0.04777925
5/13/2018,632,Deep,23.75738,0.05601491
5/13/2018,232,Deep,23.56417,0.03817409
5/13/2018,532,Deep,23.48873,0.04802225
5/13/2018,432,Deep,23.31985,0.03463756
5/13/2018,121,Deep,23.25703,0.04089919
5/13/2018,522,Deep,23.15963,0.04402329
5/13/2018,221,Deep,23.15083,0.03968689
5/13/2018,322,Deep,23.10622,0.04182746
5/13/2018,211,Deep,23.075,0.03804109
5/13/2018,421,Shallow,23.00496,0.04402907
5/13/2018,521,Deep,22.9936,0.05108126
5/13/2018,222,Deep,22.89,0.04409603
5/13/2018,612,Deep,22.79183,0.02782299
5/13/2018,212,Deep,22.72833,0.04941944
5/13/2018,311,Deep,22.72353,0.03393492
5/13/2018,122,Deep,22.67653,0.06311486
5/13/2018,321,Deep,22.6729,0.06676458
5/13/2018,422,Deep,22.66463,0.03344691
5/13/2018,621,Deep,22.66089,0.04357928
5/13/2018,412,Deep,22.56204,0.03308273
5/13/2018,622,Deep,22.54284,0.04792946
5/13/2018,611,Deep,22.5277,0.05780756
5/13/2018,511,Deep,22.43742,0.05383274
5/13/2018,312,Deep,22.39438,0.04754
5/13/2018,111,Deep,22.36385,0.04587269
5/13/2018,512,Deep,22.24844,0.02679799
5/13/2018,112,Deep,22.24479,0.05363415
5/13/2018,411,Deep,22.07843,0.05839221
5/12/2018,332,Shallow,28.39061,0.04367087
5/12/2018,532,Shallow,27.50882,0.02958799
5/12/2018,531,Shallow,27.31981,0.0721711
5/12/2018,132,Shallow,27.04053,0.0733648
5/12/2018,432,Shallow,26.93352,0.03513719
5/12/2018,232,Shallow,26.925,0.0449275
5/12/2018,431,Shallow,26.88989,0.01619817
5/12/2018,631,Shallow,26.70707,0.05966685
5/12/2018,632,Shallow,26.43216,0.05235654
5/12/2018,231,Shallow,26.40792,0.03456168
5/12/2018,131,Shallow,26.37661,0.03600455
5/12/2018,331,Shallow,26.3633,0.05387572
5/12/2018,521,Shallow,26.06538,0.04897795
5/12/2018,522,Shallow,25.85462,0.02917348
5/12/2018,121,Shallow,25.74775,0.04394379
5/12/2018,611,Shallow,25.70869,0.03426428
5/12/2018,122,Shallow,25.60998,0.04350479
5/12/2018,212,Shallow,25.59833,0.03603788
5/12/2018,222,Shallow,25.54208,0.04038848
5/12/2018,322,Shallow,25.52298,0.03623452
5/12/2018,412,Shallow,25.50407,0.04417242
5/12/2018,612,Shallow,25.49186,0.04184232
5/12/2018,621,Shallow,25.41882,0.03251659
5/12/2018,221,Shallow,25.31333,0.03779736
5/12/2018,531,Deep,25.27309,0.04253749
5/12/2018,422,Shallow,25.22402,0.03293164
5/12/2018,512,Shallow,25.18906,0.02572808
5/12/2018,622,Shallow,25.17283,0.02940386
5/12/2018,321,Shallow,25.13909,0.03645444
5/12/2018,112,Shallow,25.05591,0.05391028
5/12/2018,211,Shallow,24.91708,0.04381435
5/12/2018,421,Deep,24.8955,0.03682203
5/12/2018,332,Deep,24.88152,0.04536343
5/12/2018,312,Shallow,24.8631,0.03679774
5/12/2018,231,Deep,24.82833,0.0375213
5/12/2018,111,Shallow,24.82135,0.02885952
5/12/2018,131,Deep,24.71299,0.04102749
5/12/2018,311,Shallow,24.66199,0.03902063
5/12/2018,411,Shallow,24.66087,0.04373838
5/12/2018,631,Deep,24.59418,0.04453301
5/12/2018,331,Deep,24.55616,0.06422414
5/12/2018,511,Shallow,24.53625,0.05203705
5/12/2018,132,Deep,24.4228,0.1027472
5/12/2018,431,Deep,24.42164,0.04831323
5/12/2018,632,Deep,24.34476,0.05629117
5/12/2018,532,Deep,24.13445,0.04838875
5/12/2018,232,Deep,24.12542,0.03840758
5/12/2018,121,Deep,23.99646,0.04109259
5/12/2018,432,Deep,23.91215,0.03481109
